City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,mahalapye,-23.1041,26.8142,12.57,80,54,4.8,BW,1690325490
241,abakaliki,6.3163,8.1169,24.1,94,98,2.75,NG,1690325491
242,gorom-gorom,14.4439,-0.2361,33.56,41,10,2.04,BF,1690325491
243,tongliao,43.6125,122.2653,24.84,75,2,5.6,CN,1690325319
244,tamanrasset,22.785,5.5228,28.95,12,0,2.57,DZ,1690325491
245,lompoc,34.6391,-120.4579,38.08,56,20,3.6,US,1690325492
246,codrington,-38.2667,141.9667,7.37,89,100,3.21,AU,1690325492
247,saalfelden am steinernen meer,47.4268,12.848,13.52,61,100,1.21,AT,1690325492
248,khagaria,25.5,86.4833,28.92,78,93,2.67,IN,1690325493
249,shingu,33.7333,135.9833,28.94,70,0,0.4,JP,1690325380
250,ormara,25.2088,64.6357,28.45,84,97,1.99,PK,1690325493
251,korablino,53.9164,40.0133,17.8,84,100,3.29,RU,1690325494
252,general acha,-37.377,-64.6043,9.3,67,41,4.38,AR,1690325495
253,manicore,-5.8092,-61.3003,31.97,55,0,0.0,BR,1690325495
254,ilhabela,-23.7781,-45.3581,21.03,82,21,1.7,BR,1690325495
255,sittwe,20.15,92.9,26.75,87,67,5.96,MM,1690325496
256,kununurra,-15.7667,128.7333,11.99,76,32,0.51,AU,1690325496
257,atafu village,-8.5421,-172.5159,29.09,72,10,8.79,TK,1690325301
258,east london,-33.0153,27.9116,14.85,33,100,2.5,ZA,1690325496
259,forio,40.7342,13.8646,27.85,67,0,8.05,IT,1690325497
260,kuanda,56.3161,116.0806,20.85,67,11,0.24,RU,1690325497
261,jiangyou,31.7667,104.7167,23.71,89,96,2.09,CN,1690325497
262,sorochinsk,52.4338,53.1583,18.37,64,21,1.8,RU,1690325497
263,karaisali,37.2567,35.0589,24.37,31,0,3.25,TR,1690325498
264,tazacorte,28.629,-17.9293,23.54,77,0,5.66,ES,1690325498
265,eydhafushi,5.1033,73.0708,27.93,76,100,3.98,MV,1690325498
266,marhaura,25.9667,84.8667,30.96,74,99,4.08,IN,1690325498
267,port macquarie,-31.4333,152.9167,13.27,70,36,3.02,AU,1690325499
268,new norfolk,-42.7826,147.0587,13.82,72,100,4.37,AU,1690325499
269,vorgashor,67.5833,63.95,15.53,86,99,3.3,RU,1690325494
270,meridian,43.6121,-116.3915,34.1,23,0,2.57,US,1690325499
271,okha,53.5739,142.9478,16.13,86,97,5.66,RU,1690325500
272,muynoq,43.7683,59.0214,27.65,52,69,6.38,UZ,1690325500
273,mongoumba,3.6415,18.5936,21.69,97,99,1.13,CF,1690325501
274,san pedro pochutla,15.7333,-96.4667,30.75,61,65,2.69,MX,1690325501
275,rongelap,11.1635,166.8941,28.6,77,93,7.66,MH,1690325235
276,bucerias,20.75,-105.3333,28.88,83,98,1.38,MX,1690325501
277,nili,33.7218,66.1302,21.77,41,60,0.45,AF,1690325502
278,kormend,47.011,16.606,16.29,95,98,2.46,HU,1690325502
279,luganville,-15.5333,167.1667,23.3,83,100,6.62,VU,1690325502
280,onguday,50.75,86.15,11.58,95,7,0.74,RU,1690325503
281,kingston,17.997,-76.7936,31.53,73,20,10.8,JM,1690325427
282,queenstown,-31.8976,26.8753,9.74,18,100,2.16,ZA,1690325503
283,turkmenbasy,40.0222,52.9552,23.43,73,0,6.17,TM,1690325504
284,bubaque,11.2833,-15.8333,26.67,82,100,3.23,GW,1690325504
285,magadan,59.5667,150.8,14.95,83,54,2.25,RU,1690325504
286,kasongo,-4.45,26.6667,24.1,32,1,1.72,CD,1690325504
287,howrah,22.5892,88.3103,28.0,89,40,2.57,IN,1690325504
288,enugu,6.4402,7.4943,23.24,95,100,1.95,NG,1690325505
289,wailua homesteads,22.0669,-159.378,30.44,73,20,6.69,US,1690325505
290,ust'-ilimsk,58.0006,102.6619,18.44,75,100,1.35,RU,1690325505
291,geraldton,-28.7667,114.6,14.23,72,30,5.66,AU,1690325506
292,severo-yeniseyskiy,60.3725,93.0408,15.49,94,76,1.05,RU,1690325506
293,sao felix do xingu,-6.6447,-51.995,25.66,43,4,0.57,BR,1690325506
294,dalian,38.9122,121.6022,25.96,89,0,2.0,CN,1690325507
295,reichertshofen,48.6577,11.4661,13.97,88,75,2.57,DE,1690325507
296,keflavik,64.0049,-22.5624,13.95,76,100,3.6,IS,1690325507
297,masuguru,-11.3667,38.4167,20.34,73,45,1.76,TZ,1690325507
298,saint-denis,48.9167,2.3333,15.62,80,0,2.57,FR,1690325508
299,ouadda,8.0777,22.4007,20.77,99,100,1.49,CF,1690325508
300,sao miguel do araguaia,-13.275,-50.1628,26.65,31,0,1.53,BR,1690325508
301,labrador city,52.9463,-66.9114,15.95,94,75,1.54,CA,1690325508
302,deir ez-zor,35.3359,40.1408,33.2,22,0,10.47,SY,1690325509
303,bahir dar,11.5936,37.3908,16.66,95,100,0.44,ET,1690325509
304,massakory,12.996,15.7293,31.15,40,94,3.46,TD,1690325509
305,geneina,13.45,22.45,25.86,73,98,7.04,SD,1690325509
306,nyurba,63.2842,118.3319,18.74,57,33,3.44,RU,1690325510
307,kapuskasing,49.4169,-82.4331,27.05,41,40,6.69,CA,1690325510
308,itoman,26.1247,127.6694,29.01,87,75,5.66,JP,1690325510
309,puerto baquerizo moreno,-0.9,-89.6,26.55,78,20,4.63,EC,1690325510
310,quellon,-43.1167,-73.6167,9.14,87,100,1.03,CL,1690325395
311,pangai,-19.8,-174.35,24.06,69,75,3.09,TO,1690325511
312,bol,13.4586,14.7147,29.5,55,92,3.53,TD,1690325511
313,ancud,-41.8697,-73.8203,8.14,87,5,4.81,CL,1690325511
314,mount kisco,41.2043,-73.7271,22.34,91,75,3.09,US,1690325512
315,aykhal,66.0,111.5,17.66,65,100,4.08,RU,1690325512
316,tocopilla,-22.092,-70.1979,16.98,82,18,4.11,CL,1690325512
317,porbandar,21.6422,69.6093,27.35,86,71,7.62,IN,1690325513
318,lerwick,60.1545,-1.1494,11.0,75,100,9.21,GB,1690325513
319,wagar,16.1525,36.2032,30.26,56,86,12.59,SD,1690325446
320,san bernardo del viento,9.3533,-75.9524,28.52,82,95,4.51,CO,1690325513
321,leava,-14.3,-178.1667,26.23,76,100,7.92,WF,1690325514
322,labytnangi,66.6572,66.4183,16.19,93,100,4.51,RU,1690325514
323,kani keli,-12.9536,45.1033,24.59,76,39,6.94,YT,1690325514
324,lazaro cardenas,17.9583,-102.2,30.08,69,97,3.81,MX,1690325514
325,pisco,-13.7,-76.2167,21.03,68,0,7.72,PE,1690325515
326,lucapa,-8.4192,20.7447,22.03,33,21,1.32,AO,1690325515
327,international falls,48.6011,-93.411,26.75,70,0,2.57,US,1690325515
328,klaksvik,62.2266,-6.589,9.51,81,100,5.55,FO,1690325515
329,at taj,24.2049,23.2857,29.92,15,2,4.9,LY,1690325516
330,rio san juan,19.6439,-70.0763,29.53,82,82,5.19,DO,1690325516
331,sorong,-0.8833,131.25,24.32,89,100,5.12,ID,1690325516
332,ishigaki,24.3448,124.1572,29.07,84,20,9.26,JP,1690325516
333,nuku'alofa,-21.1333,-175.2,24.19,60,40,2.57,TO,1690325517
334,al kiswah,33.3572,36.2428,24.27,37,0,0.97,SY,1690325517
335,berezovyy,51.6667,135.7,21.97,79,96,0.84,RU,1690325517
336,coquimbo,-29.9533,-71.3436,15.85,82,0,3.6,CL,1690325517
337,qulsary,46.9531,54.0198,21.53,69,3,5.59,KZ,1690325518
338,mejit,10.2753,170.8646,28.28,81,60,8.6,MH,1690325518
339,utrik,11.2278,169.8474,28.37,80,74,7.64,MH,1690325298
340,kukawa,12.9234,13.5606,29.86,49,81,3.29,NG,1690325520
341,constantia,44.1833,28.65,24.38,70,77,8.35,RO,1690325520
342,nova vicosa,-17.8919,-39.3719,21.74,90,54,4.59,BR,1690325520
343,krasnyy kut,50.95,46.9667,19.91,66,47,0.6,RU,1690325520
344,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,77,20,2.0,RU,1690325521
345,northam,51.0333,-4.2167,12.44,90,14,1.58,GB,1690325521
346,geiselhoring,48.8333,12.3833,15.24,84,86,5.02,DE,1690325521
347,andijon,40.7821,72.3442,25.6,25,3,2.4,UZ,1690325521
348,pacific grove,36.6177,-121.9166,30.3,78,0,3.09,US,1690325460
349,kavaratti,10.5669,72.642,28.11,73,98,7.54,IN,1690325523
350,antsiranana,-12.2787,49.2917,21.64,84,70,5.5,MG,1690325523
351,swakopmund,-22.6833,14.5333,11.66,86,75,0.45,NA,1690325523
352,henderson,36.0397,-114.9819,44.9,14,0,3.6,US,1690325508
353,khromtau,50.2503,58.4347,16.63,93,100,6.04,KZ,1690325524
354,el calafate,-50.3408,-72.2768,-5.28,61,15,1.3,AR,1690325470
355,naze,28.3667,129.4833,27.51,83,59,5.56,JP,1690325302
356,okhotsk,59.3833,143.3,16.15,79,100,3.33,RU,1690325525
357,amlapura,-8.45,115.6167,23.61,87,66,4.43,ID,1690325525
358,porto novo,6.4965,2.6036,24.9,91,62,2.58,BJ,1690325453
359,holualoa,19.6228,-155.9522,27.1,82,40,4.12,US,1690325526
360,xylokastro,38.0776,22.6317,30.53,33,0,2.26,GR,1690325526
361,pangkalanbuun,-2.6833,111.6167,22.8,96,100,0.75,ID,1690325526
362,nijar,36.9665,-2.206,23.14,73,0,1.54,ES,1690325527
363,ciudad bolivar,8.1222,-63.5497,29.29,67,81,0.74,VE,1690325527
364,hadibu,12.65,54.0333,24.88,79,68,10.72,YE,1690325527
365,motril,36.7507,-3.5179,30.15,30,0,1.6,ES,1690325528
